episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-589.8,302,27,0,0,0,0,0.0,0.0,0.0,0.0
2,604,-603.5,302,12,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
4,1208,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
5,1510,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
6,1812,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
7,2114,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
8,2416,-602.1999999999999,302,20,0,0,0,0,0.0,0.0,0.0,0.0
9,2718,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
10,3020,-603.0999999999999,302,8,0,0,0,0,0.0,0.0,0.0,0.0
11,3322,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
12,3624,-591.2,302,17,0,0,0,0,0.0,0.0,0.0,0.0
13,3926,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
14,4228,-602.5,302,12,0,0,0,0,0.0,0.0,0.0,0.0
15,4530,-599.2,302,36,0,0,0,0,0.0,0.0,0.0,0.0
16,4832,-558.2999999999998,302,4,0,0,0,0,0.0,0.0,0.0,0.0
17,5134,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
18,5436,2.1000000000000005,302,24,0,0,0,0,0.0,0.0,0.0,0.0
19,5738,-603.8,302,12,0,0,0,0,0.0,0.0,0.0,0.0
20,6040,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
21,6342,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
22,6644,-601.1999999999999,302,20,0,0,0,0,0.0,0.0,0.0,0.0
23,6946,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
24,7248,-560.5999999999999,302,4,0,0,0,0,0.0,0.0,0.0,0.0
25,7550,-599.1000000000001,302,24,0,0,0,0,0.0,0.0,0.0,0.0
26,7852,-567.6999999999999,302,14,0,0,0,0,0.0,0.0,0.0,0.0
27,8154,-596.7,302,30,0,0,0,0,0.0,0.0,0.0,0.0
28,8456,-602.7,302,16,0,0,0,0,0.0,0.0,0.0,0.0
29,8758,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
30,9060,-0.8,302,0,0,0,0,0,0.0,0.0,0.0,0.0
31,9362,-545.5999999999999,302,12,0,0,0,0,0.0,0.0,0.0,0.0
32,9664,-596.7,302,23,0,0,0,0,0.0,0.0,0.0,0.0
33,9966,-556.0999999999998,302,15,0,0,0,0,0.0,0.0,0.0,0.0
34,10268,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
